numero,indice,id,nivellement,date_fiche,reseau,site_nom,site_num,commune,ld,departement,description,gps,vu,lat,lon,ele,x,y,z,precision_plani_max,precision_alti_max,ref_latlon,ref_proj,ref_proj_epsg,ref_proj_alti
0103701-01,a,183,R'.B.P3 - 108-II,2017/01/22,Réseau de base,BENONCES I,0103701,BENONCES,CALVAIRE DE PORTES,AIN (01),Borne 1946 en granit gravée IGN : Repère hémisphérique 1994 en laiton de 12 mm de diamètre,ok,2012,45.857334847222226,5.491579569444444,1073.973,893298.52,6531680.763,1024.73,0.01,0.005,RGF93 (ETRS89) - Ellipsoïde : IAG GRS 1980,RGF93 (ETRS89) - Projection : LAMBERT-93 - Système altimétrique : NGF-IGN,2154,NGF-IGN
0103701-02,b,184,R'.B.P3 - 108-I,2017/01/22,Réseau de base,BENONCES I,0103701,BENONCES,CALVAIRE DE PORTES,AIN (01),Regard en béton : Repère hémisphérique 1994 en laiton de 12 mm de diamètre,ok,2012,45.858032550000004,5.491103238888889,1067.645,893259.134,6531757.039,1018.379,0.05,0.005,RGF93 (ETRS89) - Ellipsoïde : IAG GRS 1980,RGF93 (ETRS89) - Projection : LAMBERT-93 - Système altimétrique : NGF-IGN,2154,NGF-IGN
0103701-03,c,185,R'.B.P3 - 80,2017/01/22,Réseau de base,BENONCES I,0103701,BENONCES,CALVAIRE DE PORTES,AIN (01),Rocher : Repère de nivellement,ok,2012,45.84463483333334,5.505600122222222,920.236,894430.625,6530305.55,870.801,0.05,0.005,RGF93 (ETRS89) - Ellipsoïde : IAG GRS 1980,RGF93 (ETRS89) - Projection : LAMBERT-93 - Système altimétrique : NGF-IGN,2154,NGF-IGN
0103701-04,d,186,,2017/01/22,Réseau de base,BENONCES I,0103701,BENONCES,CALVAIRE DE PORTES,AIN (01),Borne 1980 en granit gravée IGN,ok,2012,45.85950777777778,5.4839691111111115,1059.85,892700.7,6531903.35,1010.62,0.1,0.5,RGF93 (ETRS89) - Ellipsoïde : IAG GRS 1980,RGF93 (ETRS89) - Projection : LAMBERT-93 - Système altimétrique : NGF-IGN,2154,NGF-IGN
0103701-05,e,187,,2017/01/22,Réseau de base,BENONCES I,0103701,BENONCES,CALVAIRE DE PORTES,AIN (01),Croix : Centre,,2012,45.8573315,5.491542138888889,1077.47,893295.63,6531680.3,1028.22,0.1,0.5,RGF93 (ETRS89) - Ellipsoïde : IAG GRS 1980,RGF93 (ETRS89) - Projection : LAMBERT-93 - Système altimétrique : NGF-IGN,2154,NGF-IGN
0107406-01,a,338,,2017/01/22,Réseau de base,CHALAMONT VI,0107406,CHALAMONT,,AIN (01),Borne 1994 en béton : Repère hémisphérique en laiton de 25 mm de diamètre,ok,2012,45.99390741944445,5.1709523611111115,327.514,868013.838,6546107.06,278.732,0.01,0.01,RGF93 (ETRS89) - Ellipsoïde : IAG GRS 1980,RGF93 (ETRS89) - Projection : LAMBERT-93 - Système altimétrique : NGF-IGN,2154,NGF-IGN
0107406-02,b,339,,2017/01/22,Réseau de base,CHALAMONT VI,0107406,CHALAMONT,,AIN (01),Ponceau : Repère hémisphérique 1994 en laiton de 12 mm de diamètre,,2012,45.99300613055556,5.172093575,324.774,868104.889,6546009.438,275.99,0.05,0.1,RGF93 (ETRS89) - Ellipsoïde : IAG GRS 1980,RGF93 (ETRS89) - Projection : LAMBERT-93 - Système altimétrique : NGF-IGN,2154,NGF-IGN
0107406-03,c,207288,,2017/01/22,Réseau de base,CHALAMONT VI,0107406,CHALAMONT,,AIN (01),Regard : Croix S.E : Repère hémisphérique en laiton de 18 mm de diamètre,ok,2012,45.992884305555556,5.171427072222222,326.027,868053.691,6545994.496,277.244,0.01,0.05,RGF93 (ETRS89) - Ellipsoïde : IAG GRS 1980,RGF93 (ETRS89) - Projection : LAMBERT-93 - Système altimétrique : NGF-IGN,2154,NGF-IGN
0109301-01,a,441,J'.E.L3N3 - 3-II,2017/02/21,Réseau de base,CHATILLON-SUR-CHALARONNE I,0109301,CHATILLON-SUR-CHALARONNE,LES PETITES MURES,AIN (01),Borne 1948 en granit gravée IGN : Repère hémisphérique 1994 en laiton de 12 mm de diamètre,ok,2016,46.107882519444445,4.946572355555555,311.261,850340.407,6558307.449,262.432,0.01,0.005,RGF93 (ETRS89) - Ellipsoïde : IAG GRS 1980,RGF93 (ETRS89) - Projection : LAMBERT-93 - Système altimétrique : NGF-IGN,2154,NGF-IGN
0109301-04,c,444,J'.E.L3 - 34-I,2017/02/21,Réseau de base,CHATILLON-SUR-CHALARONNE I,0109301,CHATILLON-SUR-CHALARONNE,LES PETITES MURES,AIN (01),Muret du portail de la DDE : Repère hémisphérique 2003 en laiton de 12 mm de diamètre,,2016,46.11576530833334,4.9397188000000005,292.772,849789.688,6559169.549,243.951,0.05,0.005,RGF93 (ETRS89) - Ellipsoïde : IAG GRS 1980,RGF93 (ETRS89) - Projection : LAMBERT-93 - Système altimétrique : NGF-IGN,2154,NGF-IGN
